1	aahed	1.41E-07
2	aalii	8.34E-09
3	aargh	8.90E-08
4	aarti	1.83E-07
5	abaca	1.32E-06
6	abaci	2.94E-07
7	abacs	8.17E-09
8	abaft	8.35E-07
9	abaka	6.72E-08
10	abamp	3.46E-09
11	aband	2.85E-07
12	abash	1.75E-07
13	abask	1.48E-09
14	abaya	4.43E-07
15	abbas	1.12E-05
16	abbed	1.65E-08
17	abbes	3.40E-07
18	abcee	8.79E-10
19	abeam	9.99E-07
20	abear	4.11E-08
21	abele	1.41E-06
22	abers	1.36E-07
23	abets	1.27E-06
24	abies	8.36E-06
25	abler	1.13E-06
26	ables	1.71E-06
27	ablet	4.38E-08
28	ablow	1.27E-07
29	abmho	1.81E-09
30	abohm	5.12E-09
31	aboil	6.46E-08
32	aboma	1.70E-08
33	aboon	9.04E-08
34	abord	6.46E-07
35	abore	9.93E-08
36	abram	1.08E-05
37	abray	5.04E-08
38	abrim	4.29E-08
39	abrin	1.62E-07
40	abris	6.54E-08
41	absey	1.74E-08
42	absit	1.14E-07
43	abuna	2.75E-07
44	abune	1.24E-07
45	abuts	2.53E-06
46	abuzz	7.59E-07
47	abyes	4.19E-10
48	abysm	1.23E-07
49	acais	1.61E-08
50	acari	4.07E-06
51	accas	9.29E-08
52	accoy	4.07E-09
53	acerb	5.88E-08
54	acers	3.70E-07
55	aceta	9.33E-08
56	achar	3.96E-07
57	ached	1.01E-05
58	aches	8.85E-06
59	achoo	1.22E-07
60	acids	0.000235421
61	acidy	5.94E-08
62	acing	3.28E-07
63	acini	2.05E-06
64	ackee	2.57E-07
65	acker	4.98E-06
66	acmes	7.76E-08
67	acmic	8.51E-09
68	acned	5.36E-08
69	acnes	6.72E-07
70	acock	4.21E-07
71	acold	3.03E-08
72	acred	1.33E-07
73	acres	0.00035847
74	acros	3.49E-07
75	acted	0.000184826
76	actin	3.37E-05
77	acton	1.06E-05
78	acyls	3.61E-08
79	adaws	2.25E-08
80	adays	1.79E-07
81	adbot	6.49E-09
82	addax	2.97E-07
83	added	0.00133489
84	adder	9.89E-06
85	addio	4.30E-07
86	addle	4.38E-07
87	adeem	5.75E-08
88	adhan	1.68E-07
89	adieu	4.20E-06
90	adios	1.07E-06
91	adits	7.71E-07
92	adman	6.85E-07
93	admen	2.25E-07
94	admix	2.54E-07
